Year;City;Sport;Discipline;Athlete;Country;Gender;Event;Medal;nombre
1924;Paris;Athletics;Athletics;BRUNETO, Luis;ARG;Men;Triple Jump;Silver;Luis
1924;Paris;Boxing;Boxing;PORZIO, Alfredo;ARG;Men;+ 79.38KG (Heavyweight);Bronze;Alfredo
1924;Paris;Boxing;Boxing;QUARTUCCI, Pedro;ARG;Men;53.52 - 57.15KG (Featherweight);Bronze;Pedro
1924;Paris;Boxing;Boxing;COPELLO, Alfredo;ARG;Men;57.15 - 61.24KG (Lightweight);Silver;Alfredo
1924;Paris;Boxing;Boxing;MENDEZ, Hector;ARG;Men;61.24 - 66.68KG (Welterweight);Silver;Héctor
1924;Paris;Polo;Polo;KENNY, Arturo;ARG;Men;Polo;Gold;Arturo
1924;Paris;Polo;Polo;MILES, Juan;ARG;Men;Polo;Gold;Juan
1924;Paris;Polo;Polo;NAYLOR, Guillermo;ARG;Men;Polo;Gold;Guillermo
1924;Paris;Polo;Polo;NELSON, Juan;ARG;Men;Polo;Gold;Juan
1924;Paris;Polo;Polo;PADILLA, Enrique;ARG;Men;Polo;Gold;Enrique
1924;Paris;Polo;Polo;PENA, A.;ARG;Men;Polo;Gold;A
1928;Amsterdam;Aquatics;Swimming;ZORRILLA, Victoriano;ARG;Men;400M Freestyle;Gold;Victoriano
1928;Amsterdam;Boxing;Boxing;RODRIGUEZ JURADO, Arturo;ARG;Men;+ 79.38KG (Heavyweight);Gold;Arturo
1928;Amsterdam;Boxing;Boxing;PERALTA, Victor;ARG;Men;53.52 - 57.15KG (Featherweight);Silver;Victor
1928;Amsterdam;Boxing;Boxing;LANDINI, Raul;ARG;Men;61.24 - 66.68KG (Welterweight);Silver;Raúl
1928;Amsterdam;Boxing;Boxing;AVENDANO, Victor;ARG;Men;72.57 - 79.38KG (Light-Heavyweight);Gold;Victor
1928;Amsterdam;Fencing;Fencing;ANGANUZZI, Raul;ARG;Men;Foil Team;Bronze;Raúl
1928;Amsterdam;Fencing;Fencing;CAMET, Carmelo F.;ARG;Men;Foil Team;Bronze;Carmelo
1928;Amsterdam;Fencing;Fencing;LARRAZ, Roberto;ARG;Men;Foil Team;Bronze;Roberto
1928;Amsterdam;Fencing;Fencing;LUCCHETTI, Hector Pablo;ARG;Men;Foil Team;Bronze;Héctor Pablo
1928;Amsterdam;Fencing;Fencing;LUCCHETTI, Luis J.;ARG;Men;Foil Team;Bronze;Luis
1928;Amsterdam;Football;Football;BIDOGLIO, Ludovico;ARG;Men;Football;Silver;Ludovico
1928;Amsterdam;Football;Football;BOSIO, Angel;ARG;Men;Football;Silver;Ángel
1928;Amsterdam;Football;Football;CALANDRA, Saul H.;ARG;Men;Football;Silver;Saul
1928;Amsterdam;Football;Football;CARRICABERRY, Alfredo D.;ARG;Men;Football;Silver;Alfredo
1928;Amsterdam;Football;Football;CHERRO, Roberto;ARG;Men;Football;Silver;Roberto
1928;Amsterdam;Football;Football;DIAZ, Octavio J.;ARG;Men;Football;Silver;Octavio
1928;Amsterdam;Football;Football;EVARISTO, J.;ARG;Men;Football;Silver;J
1928;Amsterdam;Football;Football;FERREIRA, Manuel;ARG;Men;Football;Silver;Manuel
1928;Amsterdam;Football;Football;GAINZARAIN, Enrique;ARG;Men;Football;Silver;Enrique
1928;Amsterdam;Football;Football;GOMEZ, S. N.;ARG;Men;Football;Silver;S
1928;Amsterdam;Football;Football;HELMAN, A.;ARG;Men;Football;Silver;A
1928;Amsterdam;Football;Football;MEDICI, Angel Segundo;ARG;Men;Football;Silver;Ángel Segundo
1928;Amsterdam;Football;Football;MONTI, Luis Felipe;ARG;Men;Football;Silver;Luis Felipe
1928;Amsterdam;Football;Football;OCHOA, P.;ARG;Men;Football;Silver;P
1928;Amsterdam;Football;Football;ORLANDINI, Rodolfo;ARG;Men;Football;Silver;Rodolfo
1928;Amsterdam;Football;Football;ORSI, Raimundo B.;ARG;Men;Football;Silver;Raimundo
1928;Amsterdam;Football;Football;PATERNOSTER, Fernando;ARG;Men;Football;Silver;Fernando
1928;Amsterdam;Football;Football;PERDUCCA, Feliciano Angel;ARG;Men;Football;Silver;Feliciano Ángel
1928;Amsterdam;Football;Football;PERINETTI, N.;ARG;Men;Football;Silver;N
1928;Amsterdam;Football;Football;TARASCONI, Domingo Alberto;ARG;Men;Football;Silver;Domingo Alberto
1928;Amsterdam;Football;Football;WEIHMULLER, L. F.;ARG;Men;Football;Silver;L
1928;Amsterdam;Football;Football;ZUMELZU, A. B.;ARG;Men;Football;Silver;A
1932;Los Angeles;Athletics;Athletics;ZABALA, Juan Carlos;ARG;Men;Marathon;Gold;Juan Carlos
1932;Los Angeles;Boxing;Boxing;LOVELL, Alberto Santiago;ARG;Men;+ 79.38KG (Heavyweight);Gold;Alberto Santiago
1932;Los Angeles;Boxing;Boxing;ROBLEDO, Carmelo Ambrosio;ARG;Men;54 - 57.15KG (Featherweight);Gold;Carmelo Ambrosio
1932;Los Angeles;Boxing;Boxing;AZAR, Amado;ARG;Men;66.68 - 72.57KG (Middleweight);Silver;Amado
1936;Berlin;Aquatics;Swimming;CAMPBELL, Jeanette Morven;ARG;Women;100M Freestyle;Silver;Jeanette
1936;Berlin;Boxing;Boxing;LOVELL, Jose Guillermo;ARG;Men;+ 79.38KG (Heavyweight);Silver;José Guillermo
1936;Berlin;Boxing;Boxing;CASANOVAS, Oscar;ARG;Men;54 - 57.15KG (Featherweight);Gold;Oscar
1936;Berlin;Boxing;Boxing;VILLAREAL, Raul Vicente;ARG;Men;66.68 - 72.57KG (Middleweight);Bronze;Raúl Vicente
1936;Berlin;Boxing;Boxing;RISIGLIONE, Francisco;ARG;Men;72.57 - 79.38KG (Light-Heavyweight);Bronze;Francisco
1936;Berlin;Polo;Polo;ANDRADA, Manuel;ARG;Men;Polo;Gold;Manuel
1936;Berlin;Polo;Polo;CAVANAGH, Roberto;ARG;Men;Polo;Gold;Roberto
1936;Berlin;Polo;Polo;DUGGAN, Luis J.;ARG;Men;Polo;Gold;Luis
1936;Berlin;Polo;Polo;GAZZOTTI, Andres;ARG;Men;Polo;Gold;Andrés
1936;Berlin;Rowing;Rowing;CURATELLA, Julio Pedro;ARG;Men;Coxless Pair (2-);Bronze;Julio Pedro
1936;Berlin;Rowing;Rowing;PODESTA, Horacio;ARG;Men;Coxless Pair (2-);Bronze;Horacio
1948;London;Athletics;Athletics;SIMONETTO DE PORTELA, Noemi;ARG;Women;Long Jump;Silver;Noemi
1948;London;Athletics;Athletics;CABRERA, Delfo;ARG;Men;Marathon;Gold;Delfo
1948;London;Boxing;Boxing;PEREZ, Pascual Nicolas;ARG;Men;- 51KG (Flyweight);Gold;Pascual Nicolás
1948;London;Boxing;Boxing;IGLESIAS, Rafael;ARG;Men;+ 80KG (Heavyweight);Gold;Rafael
1948;London;Boxing;Boxing;CIA, Mauro;ARG;Men;73 - 80KG (Light-Heavyweight);Bronze;Mauro
1948;London;Sailing;Sailing;HOMP, Emilio C.;ARG;Men;6M;Silver;Emilio
1948;London;Sailing;Sailing;RIVADEMAR, Rodolfo;ARG;Men;6M;Silver;Rodolfo
1948;London;Sailing;Sailing;RODRIGUEZ DE LA TORRE, Rufino;ARG;Men;6M;Silver;Rufino
1948;London;Sailing;Sailing;SIEBURGER JR., Enrique Conrado;ARG;Men;6M;Silver;Enrique Conrado
1948;London;Sailing;Sailing;SIEBURGER, Julio Christian;ARG;Men;6M;Silver;Julio Christian
1948;London;Shooting;Shooting;DIAZ SAENZ VALIENTE, Carlos Enrique;ARG;Men;25M Rapid Fire Pistol (60 Shots);Silver;Carlos Enrique
1952;Helsinki;Athletics;Athletics;GORNO, Reinaldo;ARG;Men;Marathon;Silver;Reinaldo
1952;Helsinki;Boxing;Boxing;HERRERA, Eladio Oscar;ARG;Men;67 - 71KG (Light-Middleweight);Bronze;Eladio Oscar
1952;Helsinki;Boxing;Boxing;PACENZA, Antonio;ARG;Men;75 - 81KG (Light-Heavyweight);Silver;Antonio
1952;Helsinki;Rowing;Rowing;CAPPOZZO, Tranquilo;ARG;Men;Double Sculls (2X);Gold;Tranquilo
1952;Helsinki;Rowing;Rowing;GUERRERO, Eduardo;ARG;Men;Double Sculls (2X);Gold;Eduardo
1952;Helsinki;Weightlifting;Weightlifting;SELVETTI, Humberto;ARG;Men;+ 90KG, Total (Heavyweight);Bronze;Humberto
1956;Melbourne / Stockholm;Boxing;Boxing;ZALAZAR, Victor;ARG;Men;71-75KG;Bronze;Victor
1956;Melbourne / Stockholm;Weightlifting;Weightlifting;SELVETTI, Humberto;ARG;Men;+ 90KG, Total (Heavyweight);Silver;Humberto
1960;Rome;Boxing;Boxing;LAUDONIO, Abel Ricardo;ARG;Men;57 - 60KG (Lightweight);Bronze;Abel Ricardo
1960;Rome;Sailing;Sailing;CALEGARIS, Hector;ARG;Men;Dragon;Silver;Héctor
1960;Rome;Sailing;Sailing;DEL RIO SALAS, Jorge Alberto;ARG;Men;Dragon;Silver;Jorge Alberto
1960;Rome;Sailing;Sailing;SALAS CHAVES, Jorge Alberto;ARG;Men;Dragon;Silver;Jorge Alberto
1964;Tokyo;Equestrian;Eventing;MORATORIO, Carlos Alberto;ARG;Men;Individual;Silver;Carlos Alberto
1968;Mexico;Boxing;Boxing;GUILOTTI GONZALEZ, Mario;ARG;Men;63.5 - 67KG (Welterweight);Bronze;Mario
1968;Mexico;Rowing;Rowing;DEMIDDI, Alberto;ARG;Men;Single Sculls (1X);Bronze;Alberto
1972;Munich;Rowing;Rowing;DEMIDDI, Alberto;ARG;Men;Single Sculls (1X);Silver;Alberto
1988;Seoul;Tennis;Tennis;SABATINI, Gabriela;ARG;Women;Singles;Silver;Gabriela
1988;Seoul;Volleyball;Volleyball;CASTELLANI, Daniel Jorge;ARG;Men;Volleyball;Bronze;Daniel Jorge
1988;Seoul;Volleyball;Volleyball;COLLA, Daniel M.;ARG;Men;Volleyball;Bronze;Daniel
1988;Seoul;Volleyball;Volleyball;CONTE, Hugo Nestor;ARG;Men;Volleyball;Bronze;Hugo Néstor
1988;Seoul;Volleyball;Volleyball;CUMINETTI, Juan Carlos;ARG;Men;Volleyball;Bronze;Juan Carlos
1988;Seoul;Volleyball;Volleyball;DE PALMA, Esteban;ARG;Men;Volleyball;Bronze;Estebán
1988;Seoul;Volleyball;Volleyball;DIZ, Alejandro;ARG;Men;Volleyball;Bronze;Alejandro
1988;Seoul;Volleyball;Volleyball;KANTOR, Waldo Ariel;ARG;Men;Volleyball;Bronze;Waldo Ariel
1988;Seoul;Volleyball;Volleyball;MARTINEZ, Esteban Eduardo;ARG;Men;Volleyball;Bronze;Estebán Eduardo
1988;Seoul;Volleyball;Volleyball;QUIROGA, Raul Nicolas;ARG;Men;Volleyball;Bronze;Raúl Nicolás
1988;Seoul;Volleyball;Volleyball;URIARTE, Jon Emili;ARG;Men;Volleyball;Bronze;Jon Emili
1988;Seoul;Volleyball;Volleyball;WEBER, Carlos;ARG;Men;Volleyball;Bronze;Carlos
1988;Seoul;Volleyball;Volleyball;ZULIANELLO, Claudio F.;ARG;Men;Volleyball;Bronze;Claudio
1992;Barcelona;Tennis;Tennis;FRANA, Javier;ARG;Men;Doubles;Bronze;Javier
1992;Barcelona;Tennis;Tennis;MINIUSSI, Christian Carlos;ARG;Men;Doubles;Bronze;Christian Carlos
1996;Atlanta;Boxing;Boxing;CHACON, Pablo;ARG;Men;54 - 57KG (Featherweight);Bronze;Pablo
1996;Atlanta;Football;Football;ALMEYDA, Matias;ARG;Men;Football;Silver;Matías Jesús
1996;Atlanta;Football;Football;AYALA, Roberto;ARG;Men;Football;Silver;Roberto Fabián
1996;Atlanta;Football;Football;BASSEDAS, Christian;ARG;Men;Football;Silver;Christian
1996;Atlanta;Football;Football;BOSSIO, Carlos;ARG;Men;Football;Silver;Carlos
1996;Atlanta;Football;Football;CAVALLERO, Pablo;ARG;Men;Football;Silver;Pablo Oscar
1996;Atlanta;Football;Football;CHAMOT, Jose Antonio;ARG;Men;Football;Silver;Jose Antonio
1996;Atlanta;Football;Football;CRESPO, Hernan;ARG;Men;Football;Silver;Hernán Jorge
1996;Atlanta;Football;Football;DELGADO, Marcelo;ARG;Men;Football;Silver;Marcelo Alejandro
1996;Atlanta;Football;Football;GALLARDO, Marcelo;ARG;Men;Football;Silver;Marcelo Daniel
1996;Atlanta;Football;Football;LOPEZ, Claudio;ARG;Men;Football;Silver;Claudio Javier
1996;Atlanta;Football;Football;LOPEZ, Gustavo;ARG;Men;Football;Silver;Gustavo Adrián
1996;Atlanta;Football;Football;MORALES, Hugo;ARG;Men;Football;Silver;Hugo
1996;Atlanta;Football;Football;ORTEGA, Ariel;ARG;Men;Football;Silver;Ariel
1996;Atlanta;Football;Football;PAZ, Pablo;ARG;Men;Football;Silver;Pablo Ariel
1996;Atlanta;Football;Football;PINEDA, Hector;ARG;Men;Football;Silver;Héctor
1996;Atlanta;Football;Football;SENSINI, Roberto;ARG;Men;Football;Silver;Roberto Néstor
1996;Atlanta;Football;Football;SIMEONE, Diego;ARG;Men;Football;Silver;Diego Pablo
1996;Atlanta;Football;Football;ZANETTI, Javier;ARG;Men;Football;Silver;Javier Adelmar
1996;Atlanta;Sailing;Sailing;ESPINOLA, Carlos;ARG;Men;Board (Mistral);Silver;Carlos
2000;Sydney;Hockey;Hockey;AICEGA, Magdalena;ARG;Women;Hockey;Silver;Magdalena
2000;Sydney;Hockey;Hockey;ANTONISKA, Mariela;ARG;Women;Hockey;Silver;Mariela
2000;Sydney;Hockey;Hockey;ARRONDO, Ines;ARG;Women;Hockey;Silver;Inés
2000;Sydney;Hockey;Hockey;AYMAR, Luciana;ARG;Women;Hockey;Silver;Luciana Paula
2000;Sydney;Hockey;Hockey;FERRARI, Maria Paz;ARG;Women;Hockey;Silver;María Paz
2000;Sydney;Hockey;Hockey;GAMBERO, Ana;ARG;Women;Hockey;Silver;Anabel
2000;Sydney;Hockey;Hockey;GARCIA, Agustina;ARG;Women;Hockey;Silver;Agustina Soledad
2000;Sydney;Hockey;Hockey;HERNANDEZ, Maria de la Paz;ARG;Women;Hockey;Silver;María de la Paz
2000;Sydney;Hockey;Hockey;MAIZTEGUI, Laura;ARG;Women;Hockey;Silver;Laura
2000;Sydney;Hockey;Hockey;MARGALOT, Mercedes;ARG;Women;Hockey;Silver;Mercedes
2000;Sydney;Hockey;Hockey;MASOTTA, Paula Karina;ARG;Women;Hockey;Silver;Paula Karina
2000;Sydney;Hockey;Hockey;ONETO, Vanina Paula;ARG;Women;Hockey;Silver;Vanina Paula
2000;Sydney;Hockey;Hockey;RIMOLDI PUIG, Jorgelina;ARG;Women;Hockey;Silver;Jorgelina
2000;Sydney;Hockey;Hockey;ROGNONI, Maria Cecilia;ARG;Women;Hockey;Silver;María Cecilia
2000;Sydney;Hockey;Hockey;STEPNIK, Ayelen Iara;ARG;Women;Hockey;Silver;Ayelén Iara
